query_id,database,sf,iteration,mode,latency_ms,status
q01,turbogp,10,0,cold,102,OK
q01,turbogp,10,1,hot,40,OK
q01,turbogp,10,2,hot,39,OK
q01,turbogp,10,3,hot,39,OK
q02,turbogp,10,0,cold,26291,OK
q02,turbogp,10,1,hot,25268,OK
q02,turbogp,10,2,hot,25502,OK
q02,turbogp,10,3,hot,26127,OK
q03,turbogp,10,0,cold,157,OK
q03,turbogp,10,1,hot,67,OK
q03,turbogp,10,2,hot,76,OK
q03,turbogp,10,3,hot,66,OK
q04,turbogp,10,0,cold,36,OK
q04,turbogp,10,1,hot,35,OK
q04,turbogp,10,2,hot,35,OK
q04,turbogp,10,3,hot,35,OK
q05,turbogp,10,0,cold,2873,OK
q05,turbogp,10,1,hot,2216,OK
q05,turbogp,10,2,hot,2284,OK
q05,turbogp,10,3,hot,2238,OK
q06,turbogp,10,0,cold,2429,OK
q06,turbogp,10,1,hot,1292,OK
q06,turbogp,10,2,hot,1427,OK
q06,turbogp,10,3,hot,1309,OK
q07,turbogp,10,0,cold,32,OK
q07,turbogp,10,1,hot,32,OK
q07,turbogp,10,2,hot,32,OK
q07,turbogp,10,3,hot,31,OK
q08,turbogp,10,0,cold,38,OK
q08,turbogp,10,1,hot,41,OK
q08,turbogp,10,2,hot,40,OK
q08,turbogp,10,3,hot,40,OK
q09,turbogp,10,0,cold,368,OK
q09,turbogp,10,1,hot,296,OK
q09,turbogp,10,2,hot,293,OK
q09,turbogp,10,3,hot,290,OK
q10,turbogp,10,0,cold,8116,OK
q10,turbogp,10,1,hot,6894,OK
q10,turbogp,10,2,hot,7431,OK
q10,turbogp,10,3,hot,6951,OK
q11,turbogp,10,0,cold,165,OK
q11,turbogp,10,1,hot,264,OK
q11,turbogp,10,2,hot,171,OK
q11,turbogp,10,3,hot,517,OK
q12,turbogp,10,0,cold,125,OK
q12,turbogp,10,1,hot,120,OK
q12,turbogp,10,2,hot,120,OK
q12,turbogp,10,3,hot,121,OK
q13,turbogp,10,0,cold,214,OK
q13,turbogp,10,1,hot,192,OK
q13,turbogp,10,2,hot,195,OK
q13,turbogp,10,3,hot,191,OK
q14,turbogp,10,0,cold,14804,OK
q14,turbogp,10,1,hot,14884,OK
q14,turbogp,10,2,hot,14841,OK
q14,turbogp,10,3,hot,13919,OK
q15,turbogp,10,0,cold,1154,OK
q15,turbogp,10,1,hot,57,OK
q15,turbogp,10,2,hot,57,OK
q15,turbogp,10,3,hot,57,OK
q16,turbogp,10,0,cold,1050,OK
q16,turbogp,10,1,hot,1147,OK
q16,turbogp,10,2,hot,1149,OK
q16,turbogp,10,3,hot,1178,OK
q17,turbogp,10,0,cold,6760,OK
q17,turbogp,10,1,hot,6681,OK
q17,turbogp,10,2,hot,6702,OK
q17,turbogp,10,3,hot,6635,OK
q18,turbogp,10,0,cold,18741,OK
q18,turbogp,10,1,hot,19247,OK
q18,turbogp,10,2,hot,19011,OK
q18,turbogp,10,3,hot,19482,OK
q19,turbogp,10,0,cold,127,OK
q19,turbogp,10,1,hot,32,OK
q19,turbogp,10,2,hot,29,OK
q19,turbogp,10,3,hot,31,OK
q20,turbogp,10,0,cold,524,OK
q20,turbogp,10,1,hot,506,OK
q20,turbogp,10,2,hot,518,OK
q20,turbogp,10,3,hot,507,OK
q21,turbogp,10,0,cold,176,OK
q21,turbogp,10,1,hot,134,OK
q21,turbogp,10,2,hot,137,OK
q21,turbogp,10,3,hot,133,OK
q22,turbogp,10,0,cold,1440,OK
q22,turbogp,10,1,hot,1354,OK
q22,turbogp,10,2,hot,1336,OK
q22,turbogp,10,3,hot,1327,OK
q01,clickhouse,10,0,cold,516,OK
q01,clickhouse,10,1,hot,391,OK
q01,clickhouse,10,2,hot,383,OK
q01,clickhouse,10,3,hot,387,OK
q02,clickhouse,10,0,cold,1790,OK
q02,clickhouse,10,1,hot,1709,OK
q02,clickhouse,10,2,hot,1923,OK
q02,clickhouse,10,3,hot,1743,OK
q03,clickhouse,10,0,cold,794,OK
q03,clickhouse,10,1,hot,580,OK
q03,clickhouse,10,2,hot,596,OK
q03,clickhouse,10,3,hot,611,OK
q04,clickhouse,10,0,cold,314,OK
q04,clickhouse,10,1,hot,227,OK
q04,clickhouse,10,2,hot,231,OK
q04,clickhouse,10,3,hot,224,OK
q05,clickhouse,10,0,cold,300103,TIMEOUT
q05,clickhouse,10,1,hot,300097,TIMEOUT
q05,clickhouse,10,2,hot,300102,TIMEOUT
q05,clickhouse,10,3,hot,300101,TIMEOUT
q06,clickhouse,10,0,cold,234,OK
q06,clickhouse,10,1,hot,198,OK
q06,clickhouse,10,2,hot,187,OK
q06,clickhouse,10,3,hot,185,OK
q07,clickhouse,10,0,cold,300103,TIMEOUT
q07,clickhouse,10,1,hot,300084,TIMEOUT
q07,clickhouse,10,2,hot,300092,TIMEOUT
q07,clickhouse,10,3,hot,300101,TIMEOUT
q08,clickhouse,10,0,cold,300102,TIMEOUT
q08,clickhouse,10,1,hot,300099,TIMEOUT
q08,clickhouse,10,2,hot,300102,TIMEOUT
q08,clickhouse,10,3,hot,300102,TIMEOUT
q09,clickhouse,10,0,cold,78495,OK
q09,clickhouse,10,1,hot,63778,OK
q09,clickhouse,10,2,hot,17003,OK
q09,clickhouse,10,3,hot,36857,OK
q10,clickhouse,10,0,cold,6536,OK
q10,clickhouse,10,1,hot,5026,OK
q10,clickhouse,10,2,hot,5552,OK
q10,clickhouse,10,3,hot,5212,OK
q11,clickhouse,10,0,cold,1448,OK
q11,clickhouse,10,1,hot,916,OK
q11,clickhouse,10,2,hot,557,OK
q11,clickhouse,10,3,hot,722,OK
q12,clickhouse,10,0,cold,3319,OK
q12,clickhouse,10,1,hot,3717,OK
q12,clickhouse,10,2,hot,2681,OK
q12,clickhouse,10,3,hot,3010,OK
q13,clickhouse,10,0,cold,5453,OK
q13,clickhouse,10,1,hot,4139,OK
q13,clickhouse,10,2,hot,3818,OK
q13,clickhouse,10,3,hot,5156,OK
q14,clickhouse,10,0,cold,3204,OK
q14,clickhouse,10,1,hot,2166,OK
q14,clickhouse,10,2,hot,1943,OK
q14,clickhouse,10,3,hot,2056,OK
q15,clickhouse,10,0,cold,4515,OK
q15,clickhouse,10,1,hot,3594,OK
q15,clickhouse,10,2,hot,3884,OK
q15,clickhouse,10,3,hot,3182,OK
q16,clickhouse,10,0,cold,1950,OK
q16,clickhouse,10,1,hot,1332,OK
q16,clickhouse,10,2,hot,1034,OK
q16,clickhouse,10,3,hot,1241,OK
q17,clickhouse,10,0,cold,5212,OK
q17,clickhouse,10,1,hot,5290,OK
q17,clickhouse,10,2,hot,5404,OK
q17,clickhouse,10,3,hot,3698,OK
q18,clickhouse,10,0,cold,1549,OK
q18,clickhouse,10,1,hot,870,OK
q18,clickhouse,10,2,hot,1222,OK
q18,clickhouse,10,3,hot,980,OK
q19,clickhouse,10,0,cold,6049,OK
q19,clickhouse,10,1,hot,3541,OK
q19,clickhouse,10,2,hot,5436,OK
q19,clickhouse,10,3,hot,4949,OK
q20,clickhouse,10,0,cold,1016,OK
q20,clickhouse,10,1,hot,779,OK
q20,clickhouse,10,2,hot,759,OK
q20,clickhouse,10,3,hot,641,OK
q21,clickhouse,10,0,cold,7560,OK
q21,clickhouse,10,1,hot,8988,OK
q21,clickhouse,10,2,hot,8591,OK
q21,clickhouse,10,3,hot,8216,OK
q22,clickhouse,10,0,cold,1147,OK
q22,clickhouse,10,1,hot,905,OK
q22,clickhouse,10,2,hot,880,OK
q22,clickhouse,10,3,hot,917,OK
q01,duckdb,10,0,cold,629,OK
q01,duckdb,10,1,hot,601,OK
q01,duckdb,10,2,hot,645,OK
q01,duckdb,10,3,hot,518,OK
q02,duckdb,10,0,cold,182,OK
q02,duckdb,10,1,hot,166,OK
q02,duckdb,10,2,hot,158,OK
q02,duckdb,10,3,hot,157,OK
q03,duckdb,10,0,cold,573,OK
q03,duckdb,10,1,hot,564,OK
q03,duckdb,10,2,hot,597,OK
q03,duckdb,10,3,hot,570,OK
q04,duckdb,10,0,cold,523,OK
q04,duckdb,10,1,hot,577,OK
q04,duckdb,10,2,hot,564,OK
q04,duckdb,10,3,hot,552,OK
q05,duckdb,10,0,cold,624,OK
q05,duckdb,10,1,hot,673,OK
q05,duckdb,10,2,hot,654,OK
q05,duckdb,10,3,hot,710,OK
q06,duckdb,10,0,cold,399,OK
q06,duckdb,10,1,hot,399,OK
q06,duckdb,10,2,hot,381,OK
q06,duckdb,10,3,hot,398,OK
q07,duckdb,10,0,cold,725,OK
q07,duckdb,10,1,hot,721,OK
q07,duckdb,10,2,hot,722,OK
q07,duckdb,10,3,hot,787,OK
q08,duckdb,10,0,cold,698,OK
q08,duckdb,10,1,hot,747,OK
q08,duckdb,10,2,hot,741,OK
q08,duckdb,10,3,hot,762,OK
q09,duckdb,10,0,cold,1360,OK
q09,duckdb,10,1,hot,1446,OK
q09,duckdb,10,2,hot,1388,OK
q09,duckdb,10,3,hot,1429,OK
q10,duckdb,10,0,cold,765,OK
q10,duckdb,10,1,hot,852,OK
q10,duckdb,10,2,hot,848,OK
q10,duckdb,10,3,hot,851,OK
q11,duckdb,10,0,cold,140,OK
q11,duckdb,10,1,hot,120,OK
q11,duckdb,10,2,hot,126,OK
q11,duckdb,10,3,hot,131,OK
q12,duckdb,10,0,cold,547,OK
q12,duckdb,10,1,hot,652,OK
q12,duckdb,10,2,hot,621,OK
q12,duckdb,10,3,hot,640,OK
q13,duckdb,10,0,cold,941,OK
q13,duckdb,10,1,hot,994,OK
q13,duckdb,10,2,hot,1025,OK
q13,duckdb,10,3,hot,957,OK
q14,duckdb,10,0,cold,508,OK
q14,duckdb,10,1,hot,510,OK
q14,duckdb,10,2,hot,533,OK
q14,duckdb,10,3,hot,529,OK
q15,duckdb,10,0,cold,432,OK
q15,duckdb,10,1,hot,460,OK
q15,duckdb,10,2,hot,452,OK
q15,duckdb,10,3,hot,433,OK
q16,duckdb,10,0,cold,293,OK
q16,duckdb,10,1,hot,240,OK
q16,duckdb,10,2,hot,241,OK
q16,duckdb,10,3,hot,234,OK
q17,duckdb,10,0,cold,646,OK
q17,duckdb,10,1,hot,692,OK
q17,duckdb,10,2,hot,679,OK
q17,duckdb,10,3,hot,736,OK
q18,duckdb,10,0,cold,985,OK
q18,duckdb,10,1,hot,884,OK
q18,duckdb,10,2,hot,882,OK
q18,duckdb,10,3,hot,897,OK
q19,duckdb,10,0,cold,760,OK
q19,duckdb,10,1,hot,760,OK
q19,duckdb,10,2,hot,728,OK
q19,duckdb,10,3,hot,761,OK
q20,duckdb,10,0,cold,508,OK
q20,duckdb,10,1,hot,528,OK
q20,duckdb,10,2,hot,523,OK
q20,duckdb,10,3,hot,528,OK
q21,duckdb,10,0,cold,1151,OK
q21,duckdb,10,1,hot,1149,OK
q21,duckdb,10,2,hot,1217,OK
q21,duckdb,10,3,hot,1277,OK
q22,duckdb,10,0,cold,226,OK
q22,duckdb,10,1,hot,212,OK
q22,duckdb,10,2,hot,183,OK
q22,duckdb,10,3,hot,211,OK
q01,postgres,10,0,cold,15218,OK
q01,postgres,10,1,hot,10996,OK
q01,postgres,10,2,hot,10928,OK
q01,postgres,10,3,hot,10863,OK
q02,postgres,10,0,cold,1613,OK
q02,postgres,10,1,hot,1250,OK
q02,postgres,10,2,hot,1322,OK
q02,postgres,10,3,hot,1366,OK
q03,postgres,10,0,cold,5758,OK
q03,postgres,10,1,hot,4489,OK
q03,postgres,10,2,hot,4768,OK
q03,postgres,10,3,hot,5489,OK
q04,postgres,10,0,cold,4258,OK
q04,postgres,10,1,hot,1379,OK
q04,postgres,10,2,hot,1441,OK
q04,postgres,10,3,hot,1368,OK
q05,postgres,10,0,cold,17813,OK
q05,postgres,10,1,hot,3276,OK
q05,postgres,10,2,hot,3155,OK
q05,postgres,10,3,hot,2543,OK
q06,postgres,10,0,cold,2517,OK
q06,postgres,10,1,hot,1514,OK
q06,postgres,10,2,hot,1698,OK
q06,postgres,10,3,hot,1562,OK
q07,postgres,10,0,cold,4228,OK
q07,postgres,10,1,hot,3294,OK
q07,postgres,10,2,hot,3230,OK
q07,postgres,10,3,hot,3083,OK
q08,postgres,10,0,cold,4078,OK
q08,postgres,10,1,hot,3208,OK
q08,postgres,10,2,hot,2771,OK
q08,postgres,10,3,hot,3063,OK
q09,postgres,10,0,cold,13390,OK
q09,postgres,10,1,hot,9198,OK
q09,postgres,10,2,hot,9133,OK
q09,postgres,10,3,hot,10302,OK
q10,postgres,10,0,cold,4474,OK
q10,postgres,10,1,hot,3755,OK
q10,postgres,10,2,hot,3727,OK
q10,postgres,10,3,hot,3979,OK
q11,postgres,10,0,cold,938,OK
q11,postgres,10,1,hot,861,OK
q11,postgres,10,2,hot,850,OK
q11,postgres,10,3,hot,814,OK
q12,postgres,10,0,cold,4358,OK
q12,postgres,10,1,hot,3373,OK
q12,postgres,10,2,hot,3311,OK
q12,postgres,10,3,hot,3714,OK
q13,postgres,10,0,cold,4313,OK
q13,postgres,10,1,hot,4097,OK
q13,postgres,10,2,hot,4596,OK
q13,postgres,10,3,hot,4699,OK
q14,postgres,10,0,cold,2280,OK
q14,postgres,10,1,hot,1772,OK
q14,postgres,10,2,hot,1815,OK
q14,postgres,10,3,hot,1545,OK
q15,postgres,10,0,cold,2867,OK
q15,postgres,10,1,hot,2283,OK
q15,postgres,10,2,hot,2032,OK
q15,postgres,10,3,hot,2354,OK
q16,postgres,10,0,cold,1863,OK
q16,postgres,10,1,hot,1796,OK
q16,postgres,10,2,hot,1956,OK
q16,postgres,10,3,hot,1966,OK
q17,postgres,10,0,cold,300100,TIMEOUT
q17,postgres,10,1,hot,300101,TIMEOUT
q17,postgres,10,2,hot,300100,TIMEOUT
q17,postgres,10,3,hot,300100,TIMEOUT
q18,postgres,10,0,cold,29061,OK
q18,postgres,10,1,hot,28027,OK
q18,postgres,10,2,hot,28151,OK
q18,postgres,10,3,hot,28606,OK
q19,postgres,10,0,cold,3166,OK
q19,postgres,10,1,hot,2994,OK
q19,postgres,10,2,hot,2708,OK
q19,postgres,10,3,hot,2676,OK
q01,exasol,10,0,cold,1057,OK
q01,exasol,10,1,hot,3,OK
q01,exasol,10,2,hot,2,OK
q01,exasol,10,3,hot,2,OK
q02,exasol,10,0,cold,1052,OK
q02,exasol,10,1,hot,5,OK
q02,exasol,10,2,hot,4,OK
q02,exasol,10,3,hot,4,OK
q03,exasol,10,0,cold,3298,OK
q03,exasol,10,1,hot,3,OK
q03,exasol,10,2,hot,3,OK
q03,exasol,10,3,hot,3,OK
q04,exasol,10,0,cold,182,OK
q04,exasol,10,1,hot,35,OK
q04,exasol,10,2,hot,26,OK
q04,exasol,10,3,hot,29,OK
q05,exasol,10,0,cold,734,OK
q05,exasol,10,1,hot,4,OK
q05,exasol,10,2,hot,3,OK
q05,exasol,10,3,hot,4,OK
q06,exasol,10,0,cold,24,OK
q06,exasol,10,1,hot,18,OK
q06,exasol,10,2,hot,20,OK
q06,exasol,10,3,hot,22,OK
q07,exasol,10,0,cold,2708,OK
q07,exasol,10,1,hot,4,OK
q07,exasol,10,2,hot,3,OK
q07,exasol,10,3,hot,3,OK
q08,exasol,10,0,cold,3299,OK
q08,exasol,10,1,hot,4,OK
q08,exasol,10,2,hot,5,OK
q08,exasol,10,3,hot,5,OK
q09,exasol,10,0,cold,3365,OK
q09,exasol,10,1,hot,4,OK
q09,exasol,10,2,hot,3,OK
q09,exasol,10,3,hot,3,OK
q10,exasol,10,0,cold,777,OK
q10,exasol,10,1,hot,4,OK
q10,exasol,10,2,hot,3,OK
q10,exasol,10,3,hot,3,OK
q11,exasol,10,0,cold,4,ERROR
q11,exasol,10,1,hot,1,ERROR
q11,exasol,10,2,hot,1,ERROR
q11,exasol,10,3,hot,0,ERROR
q12,exasol,10,0,cold,979,OK
q12,exasol,10,1,hot,3,OK
q12,exasol,10,2,hot,3,OK
q12,exasol,10,3,hot,3,OK
q13,exasol,10,0,cold,805,OK
q13,exasol,10,1,hot,2,OK
q13,exasol,10,2,hot,3,OK
q13,exasol,10,3,hot,2,OK
q14,exasol,10,0,cold,95,OK
q14,exasol,10,1,hot,29,OK
q14,exasol,10,2,hot,26,OK
q14,exasol,10,3,hot,28,OK
q15,exasol,10,0,cold,93,OK
q15,exasol,10,1,hot,66,OK
q15,exasol,10,2,hot,67,OK
q15,exasol,10,3,hot,68,OK
q16,exasol,10,0,cold,228,OK
q16,exasol,10,1,hot,192,OK
q16,exasol,10,2,hot,159,OK
q16,exasol,10,3,hot,189,OK
q17,exasol,10,0,cold,605,OK
q17,exasol,10,1,hot,3,OK
q17,exasol,10,2,hot,2,OK
q17,exasol,10,3,hot,2,OK
q18,exasol,10,0,cold,226,OK
q18,exasol,10,1,hot,213,OK
q18,exasol,10,2,hot,198,OK
q18,exasol,10,3,hot,176,OK
q19,exasol,10,0,cold,813,OK
q19,exasol,10,1,hot,3,OK
q19,exasol,10,2,hot,2,OK
q19,exasol,10,3,hot,2,OK
q20,exasol,10,0,cold,656,OK
q20,exasol,10,1,hot,5,OK
q20,exasol,10,2,hot,5,OK
q20,exasol,10,3,hot,5,OK
q21,exasol,10,0,cold,254,OK
q21,exasol,10,1,hot,134,OK
q21,exasol,10,2,hot,146,OK
q21,exasol,10,3,hot,130,OK
q22,exasol,10,0,cold,75,OK
q22,exasol,10,1,hot,62,OK
q22,exasol,10,2,hot,67,OK
q22,exasol,10,3,hot,72,OK
