query_id,database,sf,iteration,mode,latency_ms,status
q12,clickhouse,1,0,cold,703,OK
q12,clickhouse,1,1,hot,614,OK
q12,clickhouse,1,2,hot,620,OK
q12,clickhouse,1,3,hot,555,OK
q13,clickhouse,1,0,cold,822,OK
q13,clickhouse,1,1,hot,669,OK
q13,clickhouse,1,2,hot,644,OK
q13,clickhouse,1,3,hot,637,OK
q14,clickhouse,1,0,cold,416,OK
q14,clickhouse,1,1,hot,339,OK
q14,clickhouse,1,2,hot,334,OK
q14,clickhouse,1,3,hot,347,OK
q15,clickhouse,1,0,cold,788,OK
q15,clickhouse,1,1,hot,695,OK
q15,clickhouse,1,2,hot,941,OK
q15,clickhouse,1,3,hot,710,OK
q16,clickhouse,1,0,cold,358,OK
q16,clickhouse,1,1,hot,289,OK
q16,clickhouse,1,2,hot,288,OK
q16,clickhouse,1,3,hot,282,OK
q17,clickhouse,1,0,cold,3745,OK
q17,clickhouse,1,1,hot,833,OK
q17,clickhouse,1,2,hot,814,OK
q17,clickhouse,1,3,hot,780,OK
q18,clickhouse,1,0,cold,406,OK
q18,clickhouse,1,1,hot,327,OK
q18,clickhouse,1,2,hot,314,OK
q18,clickhouse,1,3,hot,322,OK
q19,clickhouse,1,0,cold,964,OK
q19,clickhouse,1,1,hot,855,OK
q19,clickhouse,1,2,hot,925,OK
q19,clickhouse,1,3,hot,896,OK
q20,clickhouse,1,0,cold,404,OK
q20,clickhouse,1,1,hot,349,OK
q20,clickhouse,1,2,hot,355,OK
q20,clickhouse,1,3,hot,349,OK
q21,clickhouse,1,0,cold,4017,OK
q21,clickhouse,1,1,hot,1593,OK
q21,clickhouse,1,2,hot,1631,OK
q21,clickhouse,1,3,hot,2102,OK
q22,clickhouse,1,0,cold,281,OK
q22,clickhouse,1,1,hot,231,OK
q22,clickhouse,1,2,hot,262,OK
q22,clickhouse,1,3,hot,235,OK
q01,duckdb,1,0,cold,49,OK
q01,duckdb,1,1,hot,35,OK
q01,duckdb,1,2,hot,34,OK
q01,duckdb,1,3,hot,35,OK
q02,duckdb,1,0,cold,40,OK
q02,duckdb,1,1,hot,25,OK
q02,duckdb,1,2,hot,23,OK
q02,duckdb,1,3,hot,23,OK
q03,duckdb,1,0,cold,57,OK
q03,duckdb,1,1,hot,36,OK
q03,duckdb,1,2,hot,38,OK
q03,duckdb,1,3,hot,34,OK
q04,duckdb,1,0,cold,48,OK
q04,duckdb,1,1,hot,32,OK
q04,duckdb,1,2,hot,30,OK
q04,duckdb,1,3,hot,31,OK
q05,duckdb,1,0,cold,58,OK
q05,duckdb,1,1,hot,42,OK
q05,duckdb,1,2,hot,41,OK
q05,duckdb,1,3,hot,44,OK
q06,duckdb,1,0,cold,39,OK
q06,duckdb,1,1,hot,21,OK
q06,duckdb,1,2,hot,21,OK
q06,duckdb,1,3,hot,21,OK
q07,duckdb,1,0,cold,60,OK
q07,duckdb,1,1,hot,48,OK
q07,duckdb,1,2,hot,45,OK
q07,duckdb,1,3,hot,44,OK
q08,duckdb,1,0,cold,58,OK
q08,duckdb,1,1,hot,48,OK
q08,duckdb,1,2,hot,42,OK
q08,duckdb,1,3,hot,41,OK
q09,duckdb,1,0,cold,99,OK
q09,duckdb,1,1,hot,93,OK
q09,duckdb,1,2,hot,85,OK
q09,duckdb,1,3,hot,86,OK
q10,duckdb,1,0,cold,94,OK
q10,duckdb,1,1,hot,76,OK
q10,duckdb,1,2,hot,87,OK
q10,duckdb,1,3,hot,85,OK
q11,duckdb,1,0,cold,30,OK
q11,duckdb,1,1,hot,17,OK
