query,cold_ms,status,rows
q01,42.9,OK,5
q02,21.4,OK,101
q03,33.5,OK,11
q04,28.2,OK,6
q05,37.3,OK,6
q06,16.3,OK,2
q07,37.5,OK,5
q08,33.8,OK,3
q09,75.2,OK,176
q10,67.6,OK,21
q11,16.3,OK,1049
q12,29.2,OK,3
q13,50.4,OK,43
q14,31.8,OK,2
q15,23.0,OK,2
q16,48.2,OK,18315
q17,28.0,OK,2
q18,51.9,OK,58
q19,46.9,OK,2
q20,30.5,OK,187
q21,63.7,OK,101
q22,32.7,OK,8
